epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,13919.1,1.54748,1.17741,0.98873,0.42721,0.31298,0.30524,0.17472,1.40693,1.05166,0.94565,0.004654,0.004654,0.004654
110,14027.6,1.54944,1.18397,0.98768,0.43069,0.31276,0.30546,0.1748,1.40656,1.05047,0.94537,0.0046045,0.0046045,0.0046045
111,14138.4,1.55235,1.18093,0.99041,0.43133,0.31202,0.30545,0.17486,1.40576,1.04988,0.94537,0.004555,0.004555,0.004555
112,14248.6,1.54964,1.17374,0.9883,0.42863,0.3123,0.30569,0.17489,1.40492,1.04937,0.94505,0.0045055,0.0045055,0.0045055
113,14355.6,1.53807,1.17386,0.98542,0.43124,0.31302,0.30629,0.17512,1.40467,1.04892,0.94475,0.004456,0.004456,0.004456
114,14464.7,1.54308,1.17425,0.98781,0.42894,0.31436,0.30727,0.17577,1.40367,1.04743,0.94438,0.0044065,0.0044065,0.0044065
115,14576.3,1.55012,1.17461,0.98525,0.42918,0.31387,0.30751,0.17592,1.4036,1.04636,0.94422,0.004357,0.004357,0.004357
116,14686.6,1.54767,1.1762,0.98781,0.43247,0.3145,0.3079,0.17617,1.40285,1.04617,0.94426,0.0043075,0.0043075,0.0043075
117,14796.9,1.54059,1.16382,0.98655,0.43218,0.31427,0.30825,0.17647,1.40207,1.0453,0.94397,0.004258,0.004258,0.004258
118,14906,1.54703,1.17393,0.98775,0.43368,0.31457,0.30848,0.17661,1.4019,1.04469,0.9438,0.0042085,0.0042085,0.0042085
119,15012.8,1.54257,1.17006,0.9865,0.4318,0.3168,0.30917,0.17699,1.40159,1.04391,0.94371,0.004159,0.004159,0.004159
120,15122.3,1.53954,1.16166,0.98206,0.43225,0.31742,0.31005,0.17708,1.40104,1.04274,0.94338,0.0041095,0.0041095,0.0041095
121,15230.3,1.53584,1.16091,0.98295,0.43518,0.31687,0.31037,0.17768,1.4004,1.04186,0.94319,0.00406,0.00406,0.00406
122,15336.8,1.53718,1.15805,0.983,0.43385,0.31666,0.31052,0.17768,1.40058,1.04167,0.94308,0.0040105,0.0040105,0.0040105
123,15446,1.54411,1.16648,0.98349,0.43323,0.31824,0.31088,0.17785,1.39995,1.04076,0.94287,0.003961,0.003961,0.003961
124,15553.8,1.53222,1.16361,0.98576,0.43279,0.3173,0.31091,0.17787,1.3994,1.0399,0.94266,0.0039115,0.0039115,0.0039115
125,15663.6,1.53211,1.15513,0.98157,0.43325,0.31797,0.31138,0.17816,1.3987,1.03934,0.94254,0.003862,0.003862,0.003862
126,15771,1.54297,1.16627,0.98642,0.4326,0.31716,0.31133,0.17818,1.39815,1.03883,0.94238,0.0038125,0.0038125,0.0038125
127,15879.2,1.53573,1.16086,0.98331,0.43614,0.31586,0.31131,0.17817,1.39804,1.03821,0.94227,0.003763,0.003763,0.003763
128,15988.8,1.53502,1.15724,0.98487,0.43722,0.31661,0.31152,0.17826,1.39772,1.03763,0.94211,0.0037135,0.0037135,0.0037135
129,16096.4,1.54003,1.16066,0.98269,0.43872,0.31539,0.31173,0.1784,1.39738,1.0372,0.94198,0.003664,0.003664,0.003664
130,16203.6,1.52477,1.15004,0.97964,0.43866,0.31528,0.31213,0.17864,1.39692,1.03665,0.94177,0.0036145,0.0036145,0.0036145
131,16311.3,1.53186,1.15694,0.98322,0.43547,0.3175,0.31245,0.1788,1.39661,1.0361,0.94169,0.003565,0.003565,0.003565
132,16418.9,1.52934,1.15088,0.97993,0.43721,0.31731,0.31253,0.17913,1.39613,1.03525,0.94148,0.0035155,0.0035155,0.0035155
133,16528,1.53495,1.15792,0.98344,0.4354,0.31783,0.31265,0.17923,1.39532,1.03468,0.94118,0.003466,0.003466,0.003466
134,16636.3,1.52805,1.14837,0.9823,0.43735,0.31774,0.31309,0.1792,1.39502,1.03428,0.94111,0.0034165,0.0034165,0.0034165
135,16743,1.51998,1.14128,0.97822,0.44121,0.31649,0.31326,0.17942,1.39465,1.03396,0.94095,0.003367,0.003367,0.003367
136,16851.9,1.51804,1.14252,0.98021,0.43899,0.31728,0.31353,0.17954,1.39427,1.03348,0.94081,0.0033175,0.0033175,0.0033175
137,16958.5,1.51581,1.14007,0.9793,0.43757,0.31852,0.31365,0.17977,1.39389,1.0328,0.94073,0.003268,0.003268,0.003268
138,17067,1.52268,1.14728,0.98024,0.4402,0.31877,0.3139,0.17993,1.39372,1.03245,0.94063,0.0032185,0.0032185,0.0032185
139,17175.6,1.51472,1.13698,0.97553,0.43982,0.31942,0.31448,0.18018,1.3933,1.03184,0.94055,0.003169,0.003169,0.003169
140,17285.6,1.51812,1.13575,0.97791,0.44024,0.3193,0.31441,0.18032,1.39296,1.03142,0.9404,0.0031195,0.0031195,0.0031195
141,17392.1,1.52192,1.14064,0.9784,0.44015,0.31942,0.31457,0.18034,1.39272,1.03115,0.94031,0.00307,0.00307,0.00307
142,17498.3,1.51809,1.1393,0.98016,0.44097,0.31966,0.31486,0.18057,1.39204,1.03057,0.94011,0.0030205,0.0030205,0.0030205
143,17606.4,1.51825,1.14148,0.9803,0.43909,0.32044,0.31489,0.18059,1.39184,1.0298,0.94,0.002971,0.002971,0.002971
144,17714.5,1.51614,1.13941,0.97893,0.4416,0.31992,0.31491,0.18061,1.39155,1.02937,0.93981,0.0029215,0.0029215,0.0029215
145,17822.7,1.51367,1.13309,0.97706,0.44168,0.31985,0.31529,0.18088,1.39111,1.02898,0.93964,0.002872,0.002872,0.002872
146,17931,1.52258,1.13768,0.97764,0.43998,0.32075,0.31537,0.18095,1.39069,1.02851,0.93949,0.0028225,0.0028225,0.0028225
147,18038.1,1.51307,1.13605,0.97666,0.43964,0.32066,0.31553,0.18098,1.39027,1.02794,0.93939,0.002773,0.002773,0.002773
148,18145.4,1.51212,1.13199,0.97381,0.43987,0.32083,0.31548,0.18103,1.38999,1.02735,0.9393,0.0027235,0.0027235,0.0027235
149,18252.8,1.50647,1.12838,0.97519,0.44189,0.32071,0.31581,0.18108,1.38976,1.02725,0.93916,0.002674,0.002674,0.002674
150,18361.1,1.51198,1.1282,0.97512,0.44149,0.32065,0.31604,0.18123,1.38961,1.02685,0.93915,0.0026245,0.0026245,0.0026245
151,18468.8,1.51384,1.13078,0.97602,0.44078,0.32083,0.31605,0.18131,1.3893,1.0264,0.93907,0.002575,0.002575,0.002575
152,18575.5,1.51751,1.13417,0.9769,0.4411,0.32117,0.31634,0.18136,1.38903,1.02592,0.93898,0.0025255,0.0025255,0.0025255
153,18682.2,1.5068,1.12242,0.97401,0.44099,0.32152,0.31664,0.18142,1.38875,1.02569,0.93891,0.002476,0.002476,0.002476
154,18790.5,1.50676,1.12513,0.9749,0.44221,0.32138,0.31675,0.18146,1.38832,1.02545,0.93882,0.0024265,0.0024265,0.0024265
155,18897.3,1.50804,1.12166,0.97515,0.44039,0.32258,0.31683,0.18151,1.38806,1.0252,0.93877,0.002377,0.002377,0.002377
156,19009.1,1.5146,1.1288,0.97581,0.44064,0.32271,0.31689,0.18159,1.38769,1.02488,0.9387,0.0023275,0.0023275,0.0023275
157,19117.8,1.50743,1.11983,0.97508,0.44164,0.32181,0.31716,0.18173,1.38744,1.02453,0.93863,0.002278,0.002278,0.002278
158,19227.8,1.50297,1.12165,0.97202,0.44262,0.3212,0.3174,0.18185,1.38706,1.0242,0.93854,0.0022285,0.0022285,0.0022285
159,19336.5,1.50768,1.12507,0.97536,0.44229,0.32171,0.31759,0.18197,1.38682,1.02385,0.93846,0.002179,0.002179,0.002179
160,19446.6,1.50356,1.11973,0.97317,0.44502,0.3209,0.31794,0.18213,1.38663,1.02348,0.93841,0.0021295,0.0021295,0.0021295
161,19555.7,1.50384,1.11666,0.97211,0.44547,0.32119,0.31795,0.18219,1.38635,1.02308,0.93834,0.00208,0.00208,0.00208
162,19662.7,1.49814,1.11136,0.97439,0.44647,0.3204,0.31802,0.18228,1.38617,1.02266,0.93827,0.0020305,0.0020305,0.0020305
163,19768.1,1.50107,1.1142,0.97336,0.44677,0.32063,0.31814,0.18236,1.38605,1.02235,0.9382,0.001981,0.001981,0.001981
164,19876.6,1.49453,1.10815,0.97011,0.44744,0.32077,0.31823,0.18239,1.38573,1.02211,0.93809,0.0019315,0.0019315,0.0019315
165,19983.8,1.49925,1.11265,0.96963,0.44719,0.32103,0.31834,0.18241,1.38571,1.02172,0.93801,0.001882,0.001882,0.001882
166,20093.2,1.50169,1.1138,0.97137,0.4475,0.32136,0.31852,0.18251,1.38544,1.02149,0.93791,0.0018325,0.0018325,0.0018325
167,20200.6,1.49566,1.10726,0.97116,0.44728,0.3214,0.31849,0.18257,1.3851,1.02118,0.93782,0.001783,0.001783,0.001783
